Phúc Xá, Ba Đình, Hà Nội
Tiến Thắng, Yên Thế, Tỉnh Bắc Giang
Đồng Lạc, Yên Thế, Tỉnh Bắc Giang
Đông Sơn, Yên Thế, Tỉnh Bắc Giang
Hương Vĩ, Yên Thế, Tỉnh Bắc Giang
Đồng Kỳ, Yên Thế, Tỉnh Bắc Giang
An Thượng, Yên Thế, Tỉnh Bắc Giang
Phồn Xương, Yên Thế, Tỉnh Bắc Giang
Tân Sỏi, Yên Thế, Tỉnh Bắc Giang
Bố Hạ, Yên Thế, Tỉnh Bắc Giang
Nhã Nam, Tân Yên, Tỉnh Bắc Giang
Tân Trung, Tân Yên, Tỉnh Bắc Giang
Quang Trung, Tân Yên, Tỉnh Bắc Giang
An Dương, Tân Yên, Tỉnh Bắc Giang
Phúc Hòa, Tân Yên, Tỉnh Bắc Giang
Liên Sơn, Tân Yên, Tỉnh Bắc Giang
Hợp Đức, Tân Yên, Tỉnh Bắc Giang
Lam Sơn, Tân Yên, Tỉnh Bắc Giang
Cao Xá, Tân Yên, Tỉnh Bắc Giang
Cao Thượng, Tân Yên, Tỉnh Bắc Giang
Việt Ngọc, Tân Yên, Tỉnh Bắc Giang
Song Vân, Tân Yên, Tỉnh Bắc Giang
Ngọc Châu, Tân Yên, Tỉnh Bắc Giang
Ngọc Vân, Tân Yên, Tỉnh Bắc Giang
Việt Lập, Tân Yên, Tỉnh Bắc Giang
Liên Chung, Tân Yên, Tỉnh Bắc Giang
Ngọc Thiện, Tân Yên, Tỉnh Bắc Giang
Ngọc Lý, Tân Yên, Tỉnh Bắc Giang
Quế Nham, Tân Yên, Tỉnh Bắc Giang
Vôi, Lạng Giang, Tỉnh Bắc Giang
Nghĩa Hòa, Lạng Giang, Tỉnh Bắc Giang
Nghĩa Hưng, Lạng Giang, Tỉnh Bắc Giang
Quang Thịnh, Lạng Giang, Tỉnh Bắc Giang
Hương Sơn, Lạng Giang, Tỉnh Bắc Giang
Đào Mỹ, Lạng Giang, Tỉnh Bắc Giang
Tiên Lục, Lạng Giang, Tỉnh Bắc Giang
An Hà, Lạng Giang, Tỉnh Bắc Giang
Kép, Lạng Giang, Tỉnh Bắc Giang
Hương Lạc, Lạng Giang, Tỉnh Bắc Giang
Dương Đức, Lạng Giang, Tỉnh Bắc Giang
Tân Thanh, Lạng Giang, Tỉnh Bắc Giang
Tân Hưng, Lạng Giang, Tỉnh Bắc Giang
Mỹ Thái, Lạng Giang, Tỉnh Bắc Giang
Xương Lâm, Lạng Giang, Tỉnh Bắc Giang
Xuân Hương, Lạng Giang, Tỉnh Bắc Giang
Tân Dĩnh, Lạng Giang, Tỉnh Bắc Giang
Đại Lâm, Lạng Giang, Tỉnh Bắc Giang
Thái Đào, Lạng Giang, Tỉnh Bắc Giang
Đồi Ngô, Lục Nam, Tỉnh Bắc Giang
Đông Hưng, Lục Nam, Tỉnh Bắc Giang
Đông Phú, Lục Nam, Tỉnh Bắc Giang
Tam Dị, Lục Nam, Tỉnh Bắc Giang
Bảo Sơn, Lục Nam, Tỉnh Bắc Giang
Bảo Đài, Lục Nam, Tỉnh Bắc Giang
Thanh Lâm, Lục Nam, Tỉnh Bắc Giang
Tiên Nha, Lục Nam, Tỉnh Bắc Giang
Trường Giang, Lục Nam, Tỉnh Bắc Giang
Phương Sơn, Lục Nam, Tỉnh Bắc Giang
Chu Điện, Lục Nam, Tỉnh Bắc Giang
Cương Sơn, Lục Nam, Tỉnh Bắc Giang
Nghĩa Phương, Lục Nam, Tỉnh Bắc Giang
Vô Tranh, Lục Nam, Tỉnh Bắc Giang
Bình Sơn, Lục Nam, Tỉnh Bắc Giang
Lan Mẫu, Lục Nam, Tỉnh Bắc Giang
Yên Sơn, Lục Nam, Tỉnh Bắc Giang
Khám Lạng, Lục Nam, Tỉnh Bắc Giang
Huyền Sơn, Lục Nam, Tỉnh Bắc Giang
Trường Sơn, Lục Nam, Tỉnh Bắc Giang
Lục Sơn, Lục Nam, Tỉnh Bắc Giang
Bắc Lũng, Lục Nam, Tỉnh Bắc Giang
Cẩm Lý, Lục Nam, Tỉnh Bắc Giang
Đan Hội, Lục Nam, Tỉnh Bắc Giang
Cấm Sơn, Lục Ngạn, Tỉnh Bắc Giang
Tân Sơn, Lục Ngạn, Tỉnh Bắc Giang
Phong Minh, Lục Ngạn, Tỉnh Bắc Giang
Phong Vân, Lục Ngạn, Tỉnh Bắc Giang
Sa Lý, Lục Ngạn, Tỉnh Bắc Giang
Hộ Đáp, Lục Ngạn, Tỉnh Bắc Giang
Sơn Hải, Lục Ngạn, Tỉnh Bắc Giang
Biên Sơn, Lục Ngạn, Tỉnh Bắc Giang
Kim Sơn, Lục Ngạn, Tỉnh Bắc Giang
Tân Hoa, Lục Ngạn, Tỉnh Bắc Giang
Giáp Sơn, Lục Ngạn, Tỉnh Bắc Giang
Biển Động, Lục Ngạn, Tỉnh Bắc Giang
Phì Điền, Lục Ngạn, Tỉnh Bắc Giang
Tân Quang, Lục Ngạn, Tỉnh Bắc Giang
Đồng Cốc, Lục Ngạn, Tỉnh Bắc Giang
Tân Lập, Lục Ngạn, Tỉnh Bắc Giang
Phú Nhuận, Lục Ngạn, Tỉnh Bắc Giang
Tân Mộc, Lục Ngạn, Tỉnh Bắc Giang
Đèo Gia, Lục Ngạn, Tỉnh Bắc Giang
An Châu, Sơn Động, Tỉnh Bắc Giang
Tây Yên Tử, Sơn Động, Tỉnh Bắc Giang
Vân Sơn, Sơn Động, Tỉnh Bắc Giang
Hữu Sản, Sơn Động, Tỉnh Bắc Giang
Đại Sơn, Sơn Động, Tỉnh Bắc Giang
Phúc Sơn, Sơn Động, Tỉnh Bắc Giang
Giáo Liêm, Sơn Động, Tỉnh Bắc Giang
Cẩm Đàn, Sơn Động, Tỉnh Bắc Giang
An Lạc, Sơn Động, Tỉnh Bắc Giang
Vĩnh An, Sơn Động, Tỉnh Bắc Giang
Yên Định, Sơn Động, Tỉnh Bắc Giang
Lệ Viễn, Sơn Động, Tỉnh Bắc Giang
An Bá, Sơn Động, Tỉnh Bắc Giang
Tuấn Đạo, Sơn Động, Tỉnh Bắc Giang
Dương Hưu, Sơn Động, Tỉnh Bắc Giang
Long Sơn, Sơn Động, Tỉnh Bắc Giang
Thanh Luận, Sơn Động, Tỉnh Bắc Giang
Thượng Lan, Thị Xã Việt Yên, Tỉnh Bắc Giang
Việt Tiến, Thị Xã Việt Yên, Tỉnh Bắc Giang
Nghĩa Trung, Thị Xã Việt Yên, Tỉnh Bắc Giang
Minh Đức, Thị Xã Việt Yên, Tỉnh Bắc Giang
Hương Mai, Thị Xã Việt Yên, Tỉnh Bắc Giang
Tự Lạn, Thị Xã Việt Yên, Tỉnh Bắc Giang
Bích Động, Thị Xã Việt Yên, Tỉnh Bắc Giang
Trung Sơn, Thị Xã Việt Yên, Tỉnh Bắc Giang
Hồng Thái, Thị Xã Việt Yên, Tỉnh Bắc Giang
Tiên Sơn, Thị Xã Việt Yên, Tỉnh Bắc Giang
Tăng Tiến, Thị Xã Việt Yên, Tỉnh Bắc Giang
Quảng Minh, Thị Xã Việt Yên, Tỉnh Bắc Giang
Nếnh, Thị Xã Việt Yên, Tỉnh Bắc Giang
Ninh Sơn, Thị Xã Việt Yên, Tỉnh Bắc Giang
Vân Trung, Thị Xã Việt Yên, Tỉnh Bắc Giang
Vân Hà, Thị Xã Việt Yên, Tỉnh Bắc Giang
Quang Châu, Thị Xã Việt Yên, Tỉnh Bắc Giang
Đồng Tiến, Hiệp Hòa, Tỉnh Bắc Giang
Hoàng Vân, Hiệp Hòa, Tỉnh Bắc Giang
Toàn Thắng, Hiệp Hòa, Tỉnh Bắc Giang
Ngọc Sơn, Hiệp Hòa, Tỉnh Bắc Giang
Thắng, Hiệp Hòa, Tỉnh Bắc Giang
Sơn Thịnh, Hiệp Hòa, Tỉnh Bắc Giang
Lương Phong, Hiệp Hòa, Tỉnh Bắc Giang
Hùng Thái, Hiệp Hòa, Tỉnh Bắc Giang
Thường Thắng, Hiệp Hòa, Tỉnh Bắc Giang
Hợp Thịnh, Hiệp Hòa, Tỉnh Bắc Giang
Danh Thắng, Hiệp Hòa, Tỉnh Bắc Giang
Mai Trung, Hiệp Hòa, Tỉnh Bắc Giang
Đoan Bái, Hiệp Hòa, Tỉnh Bắc Giang
Bắc Lý, Hiệp Hòa, Tỉnh Bắc Giang
Xuân Cẩm, Hiệp Hòa, Tỉnh Bắc Giang
Hương Lâm, Hiệp Hòa, Tỉnh Bắc Giang
Đông Lỗ, Hiệp Hòa, Tỉnh Bắc Giang
Châu Minh, Hiệp Hòa, Tỉnh Bắc Giang
Mai Đình, Hiệp Hòa, Tỉnh Bắc Giang
Chũ, Thị xã Chũ, Tỉnh Bắc Giang
Thanh Hải, Thị xã Chũ, Tỉnh Bắc Giang
Kiên Lao, Thị xã Chũ, Tỉnh Bắc Giang
Kiên Thành, Thị xã Chũ, Tỉnh Bắc Giang
Hồng Giang, Thị xã Chũ, Tỉnh Bắc Giang
Quý Sơn, Thị xã Chũ, Tỉnh Bắc Giang
Trù Hựu, Thị xã Chũ, Tỉnh Bắc Giang
Mỹ An, Thị xã Chũ, Tỉnh Bắc Giang
Nam Dương, Thị xã Chũ, Tỉnh Bắc Giang
Phượng Sơn, Thị xã Chũ, Tỉnh Bắc Giang
Dữu Lâu, Việt Trì, Tỉnh Phú Thọ
Nông Trang, Việt Trì, Tỉnh Phú Thọ
Tân Dân, Việt Trì, Tỉnh Phú Thọ
Gia Cẩm, Việt Trì, Tỉnh Phú Thọ
Tiên Cát, Việt Trì, Tỉnh Phú Thọ
Thọ Sơn, Việt Trì, Tỉnh Phú Thọ
Thanh Miếu, Việt Trì, Tỉnh Phú Thọ
Bạch Hạc, Việt Trì, Tỉnh Phú Thọ
Vân Phú, Việt Trì, Tỉnh Phú Thọ
Phượng Lâu, Việt Trì, Tỉnh Phú Thọ
Thụy Vân, Việt Trì, Tỉnh Phú Thọ
Minh Phương, Việt Trì, Tỉnh Phú Thọ
Trưng Vương, Việt Trì, Tỉnh Phú Thọ
Minh Nông, Việt Trì, Tỉnh Phú Thọ
Sông Lô, Việt Trì, Tỉnh Phú Thọ
Kim Đức, Việt Trì, Tỉnh Phú Thọ
Hùng Lô, Việt Trì, Tỉnh Phú Thọ
Hy Cương, Việt Trì, Tỉnh Phú Thọ
Chu Hóa, Việt Trì, Tỉnh Phú Thọ
Thanh Đình, Việt Trì, Tỉnh Phú Thọ
Hùng Vương, Thị xã Phú Thọ, Tỉnh Phú Thọ
Phong Châu, Thị xã Phú Thọ, Tỉnh Phú Thọ
Âu Cơ, Thị xã Phú Thọ, Tỉnh Phú Thọ
Hà Lộc, Thị xã Phú Thọ, Tỉnh Phú Thọ
Phú Hộ, Thị xã Phú Thọ, Tỉnh Phú Thọ
Văn Lung, Thị xã Phú Thọ, Tỉnh Phú Thọ
Thanh Minh, Thị xã Phú Thọ, Tỉnh Phú Thọ
Hà Thạch, Thị xã Phú Thọ, Tỉnh Phú Thọ
Thanh Vinh, Thị xã Phú Thọ, Tỉnh Phú Thọ
Đoan Hùng, Đoan Hùng, Tỉnh Phú Thọ
Hùng Xuyên, Đoan Hùng, Tỉnh Phú Thọ
Bằng Luân, Đoan Hùng, Tỉnh Phú Thọ
Phú Lâm, Đoan Hùng, Tỉnh Phú Thọ
Bằng Doãn, Đoan Hùng, Tỉnh Phú Thọ
Chí Đám, Đoan Hùng, Tỉnh Phú Thọ
Phúc Lai, Đoan Hùng, Tỉnh Phú Thọ
Ngọc Quan, Đoan Hùng, Tỉnh Phú Thọ
Hợp Nhất, Đoan Hùng, Tỉnh Phú Thọ
Tây Cốc, Đoan Hùng, Tỉnh Phú Thọ
Hùng Long, Đoan Hùng, Tỉnh Phú Thọ
Yên Kiện, Đoan Hùng, Tỉnh Phú Thọ
Chân Mộng, Đoan Hùng, Tỉnh Phú Thọ
Ca Đình, Đoan Hùng, Tỉnh Phú Thọ
Hạ Hoà, Hạ Hoà, Tỉnh Phú Thọ
Đại Phạm, Hạ Hoà, Tỉnh Phú Thọ
Đan Thượng, Hạ Hoà, Tỉnh Phú Thọ
Hà Lương, Hạ Hoà, Tỉnh Phú Thọ
Tứ Hiệp, Hạ Hoà, Tỉnh Phú Thọ
Hiền Lương, Hạ Hoà, Tỉnh Phú Thọ
Phương Viên, Hạ Hoà, Tỉnh Phú Thọ
Gia Điền, Hạ Hoà, Tỉnh Phú Thọ
Ấm Hạ, Hạ Hoà, Tỉnh Phú Thọ
Hương Xạ, Hạ Hoà, Tỉnh Phú Thọ
Xuân Áng, Hạ Hoà, Tỉnh Phú Thọ
Yên Kỳ, Hạ Hoà, Tỉnh Phú Thọ
Minh Hạc, Hạ Hoà, Tỉnh Phú Thọ
Lang Sơn, Hạ Hoà, Tỉnh Phú Thọ
Bằng Giã, Hạ Hoà, Tỉnh Phú Thọ
Yên Luật, Hạ Hoà, Tỉnh Phú Thọ
Vô Tranh, Hạ Hoà, Tỉnh Phú Thọ
Văn Lang, Hạ Hoà, Tỉnh Phú Thọ
Minh Côi, Hạ Hoà, Tỉnh Phú Thọ
Vĩnh Chân, Hạ Hoà, Tỉnh Phú Thọ
Thanh Ba, Thanh Ba, Tỉnh Phú Thọ
Vân Lĩnh, Thanh Ba, Tỉnh Phú Thọ
Đông Lĩnh, Thanh Ba, Tỉnh Phú Thọ
Đại An, Thanh Ba, Tỉnh Phú Thọ
Hanh Cù, Thanh Ba, Tỉnh Phú Thọ
Đồng Xuân, Thanh Ba, Tỉnh Phú Thọ
Quảng Yên, Thanh Ba, Tỉnh Phú Thọ
Ninh Dân, Thanh Ba, Tỉnh Phú Thọ
Võ Lao, Thanh Ba, Tỉnh Phú Thọ
Khải Xuân, Thanh Ba, Tỉnh Phú Thọ
Mạn Lạn, Thanh Ba, Tỉnh Phú Thọ
Hoàng Cương, Thanh Ba, Tỉnh Phú Thọ
Chí Tiên, Thanh Ba, Tỉnh Phú Thọ
Đông Thành, Thanh Ba, Tỉnh Phú Thọ
Sơn Cương, Thanh Ba, Tỉnh Phú Thọ
Thanh Hà, Thanh Ba, Tỉnh Phú Thọ
Đỗ Sơn, Thanh Ba, Tỉnh Phú Thọ
Đỗ Xuyên, Thanh Ba, Tỉnh Phú Thọ
Lương Lỗ, Thanh Ba, Tỉnh Phú Thọ
Phong Châu, Phù Ninh, Tỉnh Phú Thọ
Phú Mỹ, Phù Ninh, Tỉnh Phú Thọ
Lệ Mỹ, Phù Ninh, Tỉnh Phú Thọ
Liên Hoa, Phù Ninh, Tỉnh Phú Thọ
Trạm Thản, Phù Ninh, Tỉnh Phú Thọ
Trị Quận, Phù Ninh, Tỉnh Phú Thọ
Trung Giáp, Phù Ninh, Tỉnh Phú Thọ
Tiên Phú, Phù Ninh, Tỉnh Phú Thọ
Hạ Giáp, Phù Ninh, Tỉnh Phú Thọ
Bảo Thanh, Phù Ninh, Tỉnh Phú Thọ
Phú Lộc, Phù Ninh, Tỉnh Phú Thọ
Gia Thanh, Phù Ninh, Tỉnh Phú Thọ
Tiên Du, Phù Ninh, Tỉnh Phú Thọ
Phú Nham, Phù Ninh, Tỉnh Phú Thọ
An Đạo, Phù Ninh, Tỉnh Phú Thọ
Bình Phú, Phù Ninh, Tỉnh Phú Thọ
Phù Ninh, Phù Ninh, Tỉnh Phú Thọ
Yên Lập, Yên Lập, Tỉnh Phú Thọ
Mỹ Lung, Yên Lập, Tỉnh Phú Thọ
Mỹ Lương, Yên Lập, Tỉnh Phú Thọ
Lương Sơn, Yên Lập, Tỉnh Phú Thọ
Xuân An, Yên Lập, Tỉnh Phú Thọ
Xuân Viên, Yên Lập, Tỉnh Phú Thọ
Xuân Thủy, Yên Lập, Tỉnh Phú Thọ
Trung Sơn, Yên Lập, Tỉnh Phú Thọ
Hưng Long, Yên Lập, Tỉnh Phú Thọ
Nga Hoàng, Yên Lập, Tỉnh Phú Thọ
Đồng Lạc, Yên Lập, Tỉnh Phú Thọ
Thượng Long, Yên Lập, Tỉnh Phú Thọ
Đồng Thịnh, Yên Lập, Tỉnh Phú Thọ
Phúc Khánh, Yên Lập, Tỉnh Phú Thọ
Minh Hòa, Yên Lập, Tỉnh Phú Thọ
Ngọc Lập, Yên Lập, Tỉnh Phú Thọ
Ngọc Đồng, Yên Lập, Tỉnh Phú Thọ
Cẩm Khê, Cẩm Khê, Tỉnh Phú Thọ
Tiên Lương, Cẩm Khê, Tỉnh Phú Thọ
Minh Thắng, Cẩm Khê, Tỉnh Phú Thọ
Minh Tân, Cẩm Khê, Tỉnh Phú Thọ
Phượng Vĩ, Cẩm Khê, Tỉnh Phú Thọ
Tùng Khê, Cẩm Khê, Tỉnh Phú Thọ
Tam Sơn, Cẩm Khê, Tỉnh Phú Thọ
Văn Bán, Cẩm Khê, Tỉnh Phú Thọ
Phong Thịnh, Cẩm Khê, Tỉnh Phú Thọ
Phú Khê, Cẩm Khê, Tỉnh Phú Thọ
Hương Lung, Cẩm Khê, Tỉnh Phú Thọ
Nhật Tiến, Cẩm Khê, Tỉnh Phú Thọ
Hùng Việt, Cẩm Khê, Tỉnh Phú Thọ
Yên Dưỡng, Cẩm Khê, Tỉnh Phú Thọ
Điêu Lương, Cẩm Khê, Tỉnh Phú Thọ
Đồng Lương, Cẩm Khê, Tỉnh Phú Thọ
Hưng Hoá, Tam Nông, Tỉnh Phú Thọ
Hiền Quan, Tam Nông, Tỉnh Phú Thọ
Bắc Sơn, Tam Nông, Tỉnh Phú Thọ
Thanh Uyên, Tam Nông, Tỉnh Phú Thọ
Lam Sơn, Tam Nông, Tỉnh Phú Thọ
Vạn Xuân, Tam Nông, Tỉnh Phú Thọ
Quang Húc, Tam Nông, Tỉnh Phú Thọ
Hương Nộn, Tam Nông, Tỉnh Phú Thọ
Tề Lễ, Tam Nông, Tỉnh Phú Thọ
Thọ Văn, Tam Nông, Tỉnh Phú Thọ
Dị Nậu, Tam Nông, Tỉnh Phú Thọ
Dân Quyền, Tam Nông, Tỉnh Phú Thọ
Lâm Thao, Lâm Thao, Tỉnh Phú Thọ
Tiên Kiên, Lâm Thao, Tỉnh Phú Thọ
Hùng Sơn, Lâm Thao, Tỉnh Phú Thọ
Xuân Lũng, Lâm Thao, Tỉnh Phú Thọ
Xuân Huy, Lâm Thao, Tỉnh Phú Thọ
Thạch Sơn, Lâm Thao, Tỉnh Phú Thọ
Sơn Vi, Lâm Thao, Tỉnh Phú Thọ
Phùng Nguyên, Lâm Thao, Tỉnh Phú Thọ
Cao Xá, Lâm Thao, Tỉnh Phú Thọ
Vĩnh Lại, Lâm Thao, Tỉnh Phú Thọ
Tứ Xã, Lâm Thao, Tỉnh Phú Thọ
Bản Nguyên, Lâm Thao, Tỉnh Phú Thọ
Thanh Sơn, Thanh Sơn, Tỉnh Phú Thọ
Sơn Hùng, Thanh Sơn, Tỉnh Phú Thọ
Địch Quả, Thanh Sơn, Tỉnh Phú Thọ
Giáp Lai, Thanh Sơn, Tỉnh Phú Thọ
Thục Luyện, Thanh Sơn, Tỉnh Phú Thọ
Võ Miếu, Thanh Sơn, Tỉnh Phú Thọ
Thạch Khoán, Thanh Sơn, Tỉnh Phú Thọ
Cự Thắng, Thanh Sơn, Tỉnh Phú Thọ
Tất Thắng, Thanh Sơn, Tỉnh Phú Thọ
Văn Miếu, Thanh Sơn, Tỉnh Phú Thọ
Cự Đồng, Thanh Sơn, Tỉnh Phú Thọ
Thắng Sơn, Thanh Sơn, Tỉnh Phú Thọ
Tân Minh, Thanh Sơn, Tỉnh Phú Thọ
Hương Cần, Thanh Sơn, Tỉnh Phú Thọ
Khả Cửu, Thanh Sơn, Tỉnh Phú Thọ
Đông Cửu, Thanh Sơn, Tỉnh Phú Thọ
Tân Lập, Thanh Sơn, Tỉnh Phú Thọ
Yên Lãng, Thanh Sơn, Tỉnh Phú Thọ
Yên Lương, Thanh Sơn, Tỉnh Phú Thọ
Thượng Cửu, Thanh Sơn, Tỉnh Phú Thọ
Lương Nha, Thanh Sơn, Tỉnh Phú Thọ
Yên Sơn, Thanh Sơn, Tỉnh Phú Thọ
Tinh Nhuệ, Thanh Sơn, Tỉnh Phú Thọ
Đào Xá, Thanh Thuỷ, Tỉnh Phú Thọ
Thạch Đồng, Thanh Thuỷ, Tỉnh Phú Thọ
Xuân Lộc, Thanh Thuỷ, Tỉnh Phú Thọ
Tân Phương, Thanh Thuỷ, Tỉnh Phú Thọ
Thanh Thủy, Thanh Thuỷ, Tỉnh Phú Thọ
Sơn Thủy, Thanh Thuỷ, Tỉnh Phú Thọ
Bảo Yên, Thanh Thuỷ, Tỉnh Phú Thọ
Đoan Hạ, Thanh Thuỷ, Tỉnh Phú Thọ
Đồng Trung, Thanh Thuỷ, Tỉnh Phú Thọ
Hoàng Xá, Thanh Thuỷ, Tỉnh Phú Thọ
Tu Vũ, Thanh Thuỷ, Tỉnh Phú Thọ
Thu Cúc, Tân Sơn, Tỉnh Phú Thọ
Thạch Kiệt, Tân Sơn, Tỉnh Phú Thọ
Thu Ngạc, Tân Sơn, Tỉnh Phú Thọ
Kiệt Sơn, Tân Sơn, Tỉnh Phú Thọ
Đồng Sơn, Tân Sơn, Tỉnh Phú Thọ
Lai Đồng, Tân Sơn, Tỉnh Phú Thọ
Tân Phú, Tân Sơn, Tỉnh Phú Thọ
Mỹ Thuận, Tân Sơn, Tỉnh Phú Thọ
Tân Sơn, Tân Sơn, Tỉnh Phú Thọ
Xuân Đài, Tân Sơn, Tỉnh Phú Thọ
Minh Đài, Tân Sơn, Tỉnh Phú Thọ
Văn Luông, Tân Sơn, Tỉnh Phú Thọ
Xuân Sơn, Tân Sơn, Tỉnh Phú Thọ
Long Cốc, Tân Sơn, Tỉnh Phú Thọ
Kim Thượng, Tân Sơn, Tỉnh Phú Thọ
Tam Thanh, Tân Sơn, Tỉnh Phú Thọ
Vinh Tiền, Tân Sơn, Tỉnh Phú Thọ
Tích Sơn, Vĩnh Yên, Tỉnh Vĩnh Phúc
Liên Bảo, Vĩnh Yên, Tỉnh Vĩnh Phúc
Hội Hợp, Vĩnh Yên, Tỉnh Vĩnh Phúc
Đống Đa, Vĩnh Yên, Tỉnh Vĩnh Phúc
Ngô Quyền, Vĩnh Yên, Tỉnh Vĩnh Phúc
Đồng Tâm, Vĩnh Yên, Tỉnh Vĩnh Phúc
Định Trung, Vĩnh Yên, Tỉnh Vĩnh Phúc
Khai Quang, Vĩnh Yên, Tỉnh Vĩnh Phúc
Thanh Trù, Vĩnh Yên, Tỉnh Vĩnh Phúc
Hùng Vương, Phúc Yên, Tỉnh Vĩnh Phúc
Hai Bà Trưng, Phúc Yên, Tỉnh Vĩnh Phúc
Phúc Thắng, Phúc Yên, Tỉnh Vĩnh Phúc
Xuân Hoà, Phúc Yên, Tỉnh Vĩnh Phúc
Đồng Xuân, Phúc Yên, Tỉnh Vĩnh Phúc
Ngọc Thanh, Phúc Yên, Tỉnh Vĩnh Phúc
Cao Minh, Phúc Yên, Tỉnh Vĩnh Phúc
Nam Viêm, Phúc Yên, Tỉnh Vĩnh Phúc
Tiền Châu, Phúc Yên, Tỉnh Vĩnh Phúc
Lập Thạch, Lập Thạch, Tỉnh Vĩnh Phúc
Quang Sơn, Lập Thạch, Tỉnh Vĩnh Phúc
Ngọc Mỹ, Lập Thạch, Tỉnh Vĩnh Phúc
Hợp Lý, Lập Thạch, Tỉnh Vĩnh Phúc
Bắc Bình, Lập Thạch, Tỉnh Vĩnh Phúc
Thái Hòa, Lập Thạch, Tỉnh Vĩnh Phúc
Hoa Sơn, Lập Thạch, Tỉnh Vĩnh Phúc
Liễn Sơn, Lập Thạch, Tỉnh Vĩnh Phúc
Xuân Hòa, Lập Thạch, Tỉnh Vĩnh Phúc
Vân Trục, Lập Thạch, Tỉnh Vĩnh Phúc
Liên Hòa, Lập Thạch, Tỉnh Vĩnh Phúc
Tử Du, Lập Thạch, Tỉnh Vĩnh Phúc
Bàn Giản, Lập Thạch, Tỉnh Vĩnh Phúc
Xuân Lôi, Lập Thạch, Tỉnh Vĩnh Phúc
Đồng Ích, Lập Thạch, Tỉnh Vĩnh Phúc
Tiên Lữ, Lập Thạch, Tỉnh Vĩnh Phúc
Văn Quán, Lập Thạch, Tỉnh Vĩnh Phúc
Tây Sơn, Lập Thạch, Tỉnh Vĩnh Phúc
Sơn Đông, Lập Thạch, Tỉnh Vĩnh Phúc
Hợp Hòa, Tam Dương, Tỉnh Vĩnh Phúc
Hoàng Hoa, Tam Dương, Tỉnh Vĩnh Phúc
Đồng Tĩnh, Tam Dương, Tỉnh Vĩnh Phúc
Kim Long, Tam Dương, Tỉnh Vĩnh Phúc
Hướng Đạo, Tam Dương, Tỉnh Vĩnh Phúc
Đạo Tú, Tam Dương, Tỉnh Vĩnh Phúc
An Hòa, Tam Dương, Tỉnh Vĩnh Phúc
Thanh Vân, Tam Dương, Tỉnh Vĩnh Phúc
Duy Phiên, Tam Dương, Tỉnh Vĩnh Phúc
Hoàng Đan, Tam Dương, Tỉnh Vĩnh Phúc
Hoàng Lâu, Tam Dương, Tỉnh Vĩnh Phúc
Hội Thịnh, Tam Dương, Tỉnh Vĩnh Phúc
Tam Đảo, Tam Đảo, Tỉnh Vĩnh Phúc
Hợp Châu, Tam Đảo, Tỉnh Vĩnh Phúc
Đạo Trù, Tam Đảo, Tỉnh Vĩnh Phúc
Yên Dương, Tam Đảo, Tỉnh Vĩnh Phúc
Bồ Lý, Tam Đảo, Tỉnh Vĩnh Phúc
Đại Đình, Tam Đảo, Tỉnh Vĩnh Phúc
Tam Quan, Tam Đảo, Tỉnh Vĩnh Phúc
Hồ Sơn, Tam Đảo, Tỉnh Vĩnh Phúc
Minh Quang, Tam Đảo, Tỉnh Vĩnh Phúc
Hương Canh, Bình Xuyên, Tỉnh Vĩnh Phúc
Gia Khánh, Bình Xuyên, Tỉnh Vĩnh Phúc
Trung Mỹ, Bình Xuyên, Tỉnh Vĩnh Phúc
Bá Hiến, Bình Xuyên, Tỉnh Vĩnh Phúc
Thiện Kế, Bình Xuyên, Tỉnh Vĩnh Phúc
Hương Sơn, Bình Xuyên, Tỉnh Vĩnh Phúc
Tam Hợp, Bình Xuyên, Tỉnh Vĩnh Phúc
Quất Lưu, Bình Xuyên, Tỉnh Vĩnh Phúc
Sơn Lôi, Bình Xuyên, Tỉnh Vĩnh Phúc
Đạo Đức, Bình Xuyên, Tỉnh Vĩnh Phúc
Tân Phong, Bình Xuyên, Tỉnh Vĩnh Phúc
Thanh Lãng, Bình Xuyên, Tỉnh Vĩnh Phúc
Phú Xuân, Bình Xuyên, Tỉnh Vĩnh Phúc
Yên Lạc, Yên Lạc, Tỉnh Vĩnh Phúc
Đồng Cương, Yên Lạc, Tỉnh Vĩnh Phúc
Đồng Văn, Yên Lạc, Tỉnh Vĩnh Phúc
Bình Định, Yên Lạc, Tỉnh Vĩnh Phúc
Trung Nguyên, Yên Lạc, Tỉnh Vĩnh Phúc
Tề Lỗ, Yên Lạc, Tỉnh Vĩnh Phúc
Tam Hồng, Yên Lạc, Tỉnh Vĩnh Phúc
Yên Đồng, Yên Lạc, Tỉnh Vĩnh Phúc
Văn Tiến, Yên Lạc, Tỉnh Vĩnh Phúc
Nguyệt Đức, Yên Lạc, Tỉnh Vĩnh Phúc
Yên Phương, Yên Lạc, Tỉnh Vĩnh Phúc
Trung Kiên, Yên Lạc, Tỉnh Vĩnh Phúc
Liên Châu, Yên Lạc, Tỉnh Vĩnh Phúc
Đại Tự, Yên Lạc, Tỉnh Vĩnh Phúc
Hồng Châu, Yên Lạc, Tỉnh Vĩnh Phúc
Trung Hà, Yên Lạc, Tỉnh Vĩnh Phúc
Vĩnh Tường, Vĩnh Tường, Tỉnh Vĩnh Phúc
